name,time,Wh
Wohnung 2,2025-01-01 00:00:00,410.0
Wohnung 2,2025-01-01 01:00:00,381.0
Wohnung 2,2025-01-01 02:00:00,258.0
Wohnung 2,2025-01-01 03:00:00,220.0
Wohnung 2,2025-01-01 04:00:00,278.0
Wohnung 2,2025-01-01 05:00:00,249.0
Wohnung 2,2025-01-01 06:00:00,415.0
Wohnung 2,2025-01-01 07:00:00,351.0
Wohnung 2,2025-01-01 08:00:00,19.0
Wohnung 2,2025-01-01 09:00:00,348.0
Wohnung 2,2025-01-01 10:00:00,279.0
Wohnung 2,2025-01-01 11:00:00,73.0
Wohnung 2,2025-01-01 12:00:00,1.0
Wohnung 2,2025-01-01 13:00:00,84.0
Wohnung 2,2025-01-01 14:00:00,340.0
Wohnung 2,2025-01-01 15:00:00,389.0
Wohnung 2,2025-01-01 16:00:00,381.0
Wohnung 2,2025-01-01 17:00:00,541.0
Wohnung 2,2025-01-01 18:00:00,350.0
Wohnung 2,2025-01-01 19:00:00,547.0
Wohnung 2,2025-01-01 20:00:00,329.0
Wohnung 2,2025-01-01 21:00:00,255.0
Wohnung 2,2025-01-01 22:00:00,257.0
Wohnung 2,2025-01-01 23:00:00,230.0
Wohnung 2,2025-01-02 00:00:00,408.0
Wohnung 2,2025-01-02 01:00:00,243.0
Wohnung 2,2025-01-02 02:00:00,238.0
Wohnung 2,2025-01-02 03:00:00,252.0
Wohnung 2,2025-01-02 04:00:00,218.0
Wohnung 2,2025-01-02 05:00:00,254.0
Wohnung 2,2025-01-02 06:00:00,559.0
Wohnung 2,2025-01-02 07:00:00,1315.0
Wohnung 2,2025-01-02 08:00:00,438.0
Wohnung 2,2025-01-02 09:00:00,2403.0
Wohnung 2,2025-01-02 10:00:00,665.0
Wohnung 2,2025-01-02 11:00:00,1147.0
Wohnung 2,2025-01-02 12:00:00,58.0
Wohnung 2,2025-01-02 13:00:00,66.0
Wohnung 2,2025-01-02 14:00:00,901.0
Wohnung 2,2025-01-02 15:00:00,988.0
Wohnung 2,2025-01-02 16:00:00,477.0
Wohnung 2,2025-01-02 17:00:00,614.0
Wohnung 2,2025-01-02 18:00:00,810.0
Wohnung 2,2025-01-02 19:00:00,947.0
Wohnung 2,2025-01-02 20:00:00,331.0
Wohnung 2,2025-01-02 21:00:00,404.0
Wohnung 2,2025-01-02 22:00:00,240.0
Wohnung 2,2025-01-02 23:00:00,231.0
Wohnung 2,2025-01-03 00:00:00,243.0
Wohnung 2,2025-01-03 01:00:00,219.0
Wohnung 2,2025-01-03 02:00:00,257.0
Wohnung 2,2025-01-03 03:00:00,378.0
Wohnung 2,2025-01-03 04:00:00,283.0
Wohnung 2,2025-01-03 05:00:00,399.0
Wohnung 2,2025-01-03 06:00:00,386.0
Wohnung 2,2025-01-03 07:00:00,310.0
Wohnung 2,2025-01-03 08:00:00,229.0
Wohnung 2,2025-01-03 09:00:00,458.0
Wohnung 2,2025-01-03 10:00:00,360.0
Wohnung 2,2025-01-03 11:00:00,637.0
Wohnung 2,2025-01-03 12:00:00,231.0
Wohnung 2,2025-01-03 13:00:00,295.0
Wohnung 2,2025-01-03 14:00:00,544.0
Wohnung 2,2025-01-03 15:00:00,281.0
Wohnung 2,2025-01-03 16:00:00,378.0
Wohnung 2,2025-01-03 17:00:00,315.0
Wohnung 2,2025-01-03 18:00:00,587.0
Wohnung 2,2025-01-03 19:00:00,368.0
Wohnung 2,2025-01-03 20:00:00,462.0
Wohnung 2,2025-01-03 21:00:00,276.0
Wohnung 2,2025-01-03 22:00:00,424.0
Wohnung 2,2025-01-03 23:00:00,235.0
Wohnung 2,2025-01-04 00:00:00,260.0
Wohnung 2,2025-01-04 01:00:00,237.0
Wohnung 2,2025-01-04 02:00:00,259.0
Wohnung 2,2025-01-04 03:00:00,245.0
Wohnung 2,2025-01-04 04:00:00,234.0
Wohnung 2,2025-01-04 05:00:00,420.0
Wohnung 2,2025-01-04 06:00:00,233.0
Wohnung 2,2025-01-04 07:00:00,484.0
Wohnung 2,2025-01-04 08:00:00,225.0
Wohnung 2,2025-01-04 09:00:00,308.0
